,sensor [K-33 ICB],,
,CO2,,,
08/20/19 8:58:05.557,"200",,
08/20/19 8:58:35.557,"270",,
08/20/19 8:59:05.557,"350",,
08/20/19 8:59:35.557,"340",,
08/20/19 9:00:05.557,"380",,
08/20/19 9:00:35.557,"390",,
08/20/19 9:01:05.557,"450",,
08/20/19 9:01:35.557,"400",,
08/20/19 9:02:05.557,"430",,
08/20/19 9:02:35.557,"400",,
08/20/19 9:03:05.557,"410",,
08/20/19 9:03:35.557,"420",,
08/20/19 9:04:05.557,"410",,
08/20/19 9:04:35.557,"410",,
08/20/19 9:05:05.557,"380",,
08/20/19 9:05:35.557,"390",,
08/20/19 9:06:05.557,"420",,
08/20/19 9:06:35.557,"420",,
08/20/19 9:07:05.557,"440",,
08/20/19 9:07:35.557,"420",,
08/20/19 9:08:05.557,"400",,
08/20/19 9:08:35.557,"370",,
08/20/19 9:09:05.557,"410",,
08/20/19 9:09:35.557,"400",,
08/20/19 9:10:05.557,"420",,
08/20/19 9:10:35.559,"420",,
08/20/19 9:11:05.557,"420",,
08/20/19 9:11:35.557,"420",,
08/20/19 9:12:05.557,"420",,
08/20/19 9:12:35.557,"420",,
08/20/19 9:13:05.557,"410",,
08/20/19 9:13:35.558,"410",,
08/20/19 9:14:05.557,"420",,
08/20/19 9:14:35.557,"420",,
08/20/19 9:15:05.557,"420",,
08/20/19 9:15:35.557,"400",,
08/20/19 9:16:05.557,"410",,
08/20/19 9:16:35.559,"420",,
08/20/19 9:17:05.557,"430",,
08/20/19 9:17:35.557,"450",,
08/20/19 9:18:05.557,"460",,
08/20/19 9:18:35.557,"470",,
08/20/19 9:19:05.557,"460",,
08/20/19 9:19:35.557,"470",,
08/20/19 9:20:05.557,"470",,
08/20/19 9:20:35.558,"460",,
08/20/19 9:21:05.557,"440",,
08/20/19 9:21:35.557,"430",,
08/20/19 9:22:05.557,"420",,
08/20/19 9:22:35.557,"410",,
08/20/19 9:22:35.557,"410",,
08/20/19 9:23:05.557,"400",,
08/20/19 9:23:35.558,"380",,
08/20/19 9:24:05.557,"420",,
08/20/19 9:24:35.557,"400",,
08/20/19 9:25:05.557,"400",,
08/20/19 9:25:35.557,"420",,
08/20/19 9:26:05.557,"400",,
08/20/19 9:26:35.557,"400",,
08/20/19 9:27:05.557,"400",,
08/20/19 9:27:35.557,"370",,
08/20/19 9:28:05.557,"400",,
08/20/19 9:28:35.564,"400",,
08/20/19 9:29:05.557,"400",,
08/20/19 9:29:35.557,"400",,
08/20/19 9:30:05.557,"400",,
08/20/19 9:30:35.557,"400",,
08/20/19 9:31:05.557,"400",,
08/20/19 9:31:35.557,"390",,
08/20/19 9:32:05.557,"370",,
08/20/19 9:32:35.557,"360",,
08/20/19 9:33:05.557,"360",,
08/20/19 9:33:35.557,"350",,
08/20/19 9:34:05.557,"370",,
08/20/19 9:34:35.557,"380",,
08/20/19 9:35:05.557,"380",,
08/20/19 9:35:35.557,"350",,
08/20/19 9:36:05.557,"350",,
08/20/19 9:36:35.557,"350",,
08/20/19 9:37:05.557,"400",,
08/20/19 9:37:35.557,"380",,
08/20/19 9:38:05.557,"400",,
08/20/19 9:38:35.557,"400",,
08/20/19 9:39:05.557,"400",,
08/20/19 9:39:35.557,"400",,
08/20/19 9:40:05.557,"390",,
08/20/19 9:40:35.557,"390",,
08/20/19 9:41:05.557,"390",,
08/20/19 9:41:35.557,"380",,
08/20/19 9:42:05.557,"380",,
08/20/19 9:42:35.557,"370",,
08/20/19 9:43:05.557,"380",,
08/20/19 9:43:35.557,"390",,
08/20/19 9:44:05.557,"410",,
08/20/19 9:44:35.558,"400",,
08/20/19 9:45:05.557,"410",,
08/20/19 9:45:35.557,"420",,
08/20/19 9:46:05.557,"420",,
08/20/19 9:46:35.557,"400",,
08/20/19 9:47:05.557,"410",,
08/20/19 9:47:35.557,"370",,
08/20/19 9:48:05.557,"400",,
08/20/19 9:48:05.557,"400",,
08/20/19 9:48:35.557,"390",,
08/20/19 9:49:05.557,"400",,
08/20/19 9:49:35.561,"410",,
08/20/19 9:50:05.557,"380",,
08/20/19 9:50:35.557,"370",,
08/20/19 9:51:05.557,"380",,
08/20/19 9:51:35.557,"380",,
08/20/19 9:52:05.566,"390",,
08/20/19 9:52:35.557,"360",,
08/20/19 9:53:05.557,"370",,
08/20/19 9:53:35.557,"390",,
08/20/19 9:54:05.557,"370",,
08/20/19 9:54:35.557,"380",,
08/20/19 9:55:05.557,"390",,
08/20/19 9:55:35.557,"350",,
08/20/19 9:56:05.557,"390",,
08/20/19 9:56:35.557,"400",,
08/20/19 9:57:05.557,"410",,
08/20/19 9:57:35.558,"380",,
08/20/19 9:58:05.557,"390",,
08/20/19 9:58:35.557,"400",,
08/20/19 9:59:05.557,"370",,
08/20/19 9:59:35.557,"380",,
08/20/19 10:00:05.557,"370",,
08/20/19 10:00:35.557,"350",,
08/20/19 10:01:05.557,"360",,
08/20/19 10:01:35.557,"350",,
08/20/19 10:02:05.559,"340",,
08/20/19 10:02:35.557,"350",,
08/20/19 10:03:05.557,"350",,
08/20/19 10:03:35.560,"360",,
08/20/19 10:04:05.557,"380",,
08/20/19 10:04:35.561,"380",,
08/20/19 10:05:05.557,"380",,
08/20/19 10:05:35.557,"380",,
08/20/19 10:06:05.557,"370",,
08/20/19 10:06:35.557,"370",,
08/20/19 10:07:05.557,"360",,
08/20/19 10:07:35.557,"350",,
08/20/19 10:08:05.557,"360",,
08/20/19 10:08:35.558,"350",,
08/20/19 10:09:05.557,"370",,
08/20/19 10:09:35.566,"380",,
08/20/19 10:10:05.557,"390",,
08/20/19 10:10:35.557,"420",,
08/20/19 10:11:05.557,"430",,
08/20/19 10:11:35.557,"420",,
08/20/19 10:12:05.557,"410",,
08/20/19 10:12:35.557,"410",,
08/20/19 10:13:05.557,"390",,
08/20/19 10:13:35.557,"390",,
08/20/19 10:13:35.557,"390",,
08/20/19 10:14:05.557,"380",,
08/20/19 10:14:35.557,"410",,
08/20/19 10:15:05.557,"390",,
08/20/19 10:15:35.557,"380",,
08/20/19 10:16:05.557,"410",,
08/20/19 10:16:35.557,"390",,
08/20/19 10:17:05.557,"370",,
08/20/19 10:17:35.557,"360",,
08/20/19 10:18:05.557,"370",,
08/20/19 10:18:35.557,"380",,
08/20/19 10:19:05.557,"370",,
08/20/19 10:19:35.559,"370",,
08/20/19 10:20:05.557,"370",,
08/20/19 10:20:35.557,"370",,
08/20/19 10:21:05.557,"350",,
08/20/19 10:21:35.557,"350",,
08/20/19 10:22:05.557,"370",,
08/20/19 10:22:35.557,"350",,
08/20/19 10:23:05.558,"370",,
08/20/19 10:23:35.557,"370",,
08/20/19 10:24:05.557,"350",,
08/20/19 10:24:35.557,"360",,
08/20/19 10:25:05.557,"350",,
08/20/19 10:25:35.557,"350",,
08/20/19 10:26:05.557,"370",,
08/20/19 10:26:35.557,"350",,
08/20/19 10:27:05.557,"360",,
08/20/19 10:27:35.557,"350",,
08/20/19 10:28:05.557,"370",,
08/20/19 10:28:35.557,"380",,
08/20/19 10:29:05.557,"380",,
08/20/19 10:29:35.558,"400",,
08/20/19 10:30:05.557,"380",,
08/20/19 10:30:35.557,"370",,
08/20/19 10:31:05.557,"370",,
08/20/19 10:31:35.557,"370",,
08/20/19 10:32:05.557,"380",,
08/20/19 10:32:35.558,"380",,
08/20/19 10:33:05.557,"350",,
08/20/19 10:33:35.558,"360",,
08/20/19 10:34:05.557,"350",,
08/20/19 10:34:35.558,"370",,
08/20/19 10:35:05.557,"370",,
08/20/19 10:35:35.557,"380",,
08/20/19 10:36:05.557,"400",,
08/20/19 10:36:35.557,"390",,
08/20/19 10:37:05.557,"380",,
08/20/19 10:37:35.557,"370",,
08/20/19 10:38:05.557,"380",,
08/20/19 10:38:35.557,"360",,
08/20/19 10:39:05.557,"350",,
08/20/19 10:39:05.557,"350",,
08/20/19 10:39:35.557,"350",,
08/20/19 10:40:05.557,"360",,
08/20/19 10:40:35.558,"360",,
08/20/19 10:41:05.557,"360",,
08/20/19 10:41:35.557,"370",,
08/20/19 10:42:05.557,"380",,
08/20/19 10:42:35.557,"370",,
08/20/19 10:43:05.558,"380",,
08/20/19 10:43:35.557,"370",,
08/20/19 10:44:05.557,"380",,
08/20/19 10:44:35.557,"370",,
08/20/19 10:45:05.557,"360",,
08/20/19 10:45:35.557,"360",,
08/20/19 10:46:05.557,"360",,
08/20/19 10:46:35.560,"370",,
08/20/19 10:47:05.557,"370",,
08/20/19 10:47:35.557,"340",,
08/20/19 10:48:05.557,"330",,
08/20/19 10:48:35.557,"340",,
08/20/19 10:49:05.557,"350",,
08/20/19 10:49:35.557,"360",,
08/20/19 10:50:05.557,"340",,
08/20/19 10:50:35.557,"330",,
08/20/19 10:51:05.557,"370",,
08/20/19 10:51:35.557,"350",,
08/20/19 10:52:05.560,"350",,
08/20/19 10:52:35.563,"350",,
08/20/19 10:53:05.557,"350",,
08/20/19 10:53:35.557,"370",,
08/20/19 10:54:05.557,"370",,
08/20/19 10:54:35.557,"370",,
08/20/19 10:55:05.557,"350",,
08/20/19 10:55:35.557,"340",,
08/20/19 10:56:05.557,"360",,
08/20/19 10:56:35.557,"370",,
08/20/19 10:57:05.557,"350",,
08/20/19 10:57:35.557,"350",,
08/20/19 10:58:05.557,"350",,
08/20/19 10:58:35.557,"320",,
08/20/19 10:59:05.557,"320",,
08/20/19 10:59:35.557,"310",,
08/20/19 11:00:05.557,"320",,
08/20/19 11:00:35.557,"350",,
08/20/19 11:01:05.557,"350",,
08/20/19 11:01:35.558,"350",,
08/20/19 11:02:05.557,"340",,
08/20/19 11:02:35.557,"350",,
08/20/19 11:03:05.557,"350",,
08/20/19 11:03:35.557,"360",,
08/20/19 11:04:05.557,"370",,
08/20/19 11:04:35.557,"370",,
08/20/19 11:04:35.557,"370",,
08/20/19 11:05:05.557,"360",,
08/20/19 11:05:35.557,"350",,
08/20/19 11:06:05.557,"350",,
08/20/19 11:06:35.557,"360",,
08/20/19 11:07:05.557,"360",,
08/20/19 11:07:35.560,"350",,
08/20/19 11:08:05.557,"340",,
08/20/19 11:08:35.557,"340",,
08/20/19 11:09:05.557,"370",,
08/20/19 11:09:35.557,"370",,
08/20/19 11:10:05.557,"370",,
08/20/19 11:10:35.557,"380",,
08/20/19 11:11:05.557,"380",,
08/20/19 11:11:35.557,"350",,
08/20/19 11:12:05.557,"350",,
08/20/19 11:12:35.557,"350",,
08/20/19 11:13:05.557,"340",,
08/20/19 11:13:35.557,"340",,
08/20/19 11:14:05.557,"350",,
08/20/19 11:14:35.557,"370",,
08/20/19 11:15:05.557,"370",,
08/20/19 11:15:35.557,"350",,
08/20/19 11:16:05.557,"340",,
08/20/19 11:16:35.557,"330",,
08/20/19 11:17:05.557,"330",,
08/20/19 11:17:35.557,"330",,
08/20/19 11:18:05.557,"360",,
08/20/19 11:18:35.557,"350",,
08/20/19 11:19:05.557,"340",,
08/20/19 11:19:35.557,"350",,
08/20/19 11:20:05.557,"340",,
08/20/19 11:20:35.557,"330",,
08/20/19 11:21:05.557,"330",,
08/20/19 11:21:35.557,"310",,
08/20/19 11:22:05.557,"330",,
08/20/19 11:22:35.557,"310",,
08/20/19 11:23:05.557,"310",,
08/20/19 11:23:35.557,"330",,
08/20/19 11:24:05.557,"330",,
08/20/19 11:24:35.559,"360",,
08/20/19 11:25:05.557,"370",,
08/20/19 11:25:35.557,"370",,
08/20/19 11:26:05.557,"380",,
08/20/19 11:26:35.557,"380",,
08/20/19 11:27:05.557,"380",,
08/20/19 11:27:35.557,"400",,
08/20/19 11:28:05.557,"370",,
08/20/19 11:28:35.557,"370",,
08/20/19 11:29:05.557,"350",,
08/20/19 11:29:35.557,"340",,
08/20/19 11:30:05.557,"350",,
08/20/19 11:30:05.557,"350",,
08/20/19 11:30:35.557,"340",,
08/20/19 11:31:05.557,"340",,
08/20/19 11:31:35.557,"350",,
08/20/19 11:32:05.557,"350",,
08/20/19 11:32:35.557,"350",,
08/20/19 11:33:05.557,"370",,
08/20/19 11:33:35.557,"360",,
08/20/19 11:34:05.557,"370",,
08/20/19 11:34:35.557,"380",,
08/20/19 11:35:05.557,"400",,
08/20/19 11:35:35.557,"400",,
08/20/19 11:36:05.557,"370",,
08/20/19 11:36:35.557,"350",,
08/20/19 11:37:05.557,"400",,
08/20/19 11:37:35.557,"390",,
08/20/19 11:38:05.557,"390",,
08/20/19 11:38:35.557,"380",,
08/20/19 11:39:05.557,"380",,
08/20/19 11:39:35.557,"390",,
08/20/19 11:40:05.557,"380",,
08/20/19 11:40:35.557,"370",,
08/20/19 11:41:05.557,"360",,
08/20/19 11:41:35.557,"330",,
08/20/19 11:42:05.557,"380",,
08/20/19 11:42:35.557,"400",,
08/20/19 11:43:05.557,"370",,
08/20/19 11:43:35.557,"340",,
08/20/19 11:44:05.557,"340",,
08/20/19 11:44:35.557,"350",,
08/20/19 11:45:05.557,"360",,
08/20/19 11:45:35.558,"370",,
08/20/19 11:46:05.557,"370",,
08/20/19 11:46:35.557,"380",,
08/20/19 11:47:05.557,"360",,
08/20/19 11:47:35.557,"340",,
08/20/19 11:48:05.557,"340",,
08/20/19 11:48:35.557,"340",,
08/20/19 11:49:05.557,"350",,
08/20/19 11:49:35.557,"350",,
08/20/19 11:50:05.557,"350",,
08/20/19 11:50:35.557,"380",,
08/20/19 11:51:05.557,"400",,
08/20/19 11:51:35.557,"390",,
08/20/19 11:52:05.557,"400",,
08/20/19 11:52:35.557,"370",,
08/20/19 11:53:05.557,"380",,
08/20/19 11:53:35.557,"380",,
08/20/19 11:54:05.557,"370",,
08/20/19 11:54:35.557,"370",,
08/20/19 11:55:05.557,"400",,
08/20/19 11:55:35.557,"360",,
08/20/19 11:55:35.557,"360",,
08/20/19 11:56:05.557,"370",,
08/20/19 11:56:35.558,"380",,
08/20/19 11:57:05.557,"410",,
08/20/19 11:57:35.557,"410",,
08/20/19 11:58:05.557,"380",,
08/20/19 11:58:35.557,"380",,
08/20/19 11:59:05.557,"350",,
08/20/19 11:59:35.557,"340",,
08/20/19 12:00:05.558,"330",,
08/20/19 12:00:35.557,"300",,
08/20/19 12:01:05.557,"330",,
08/20/19 12:01:35.557,"330",,
08/20/19 12:02:05.557,"270",,
08/20/19 12:02:35.562,"300",,
08/20/19 12:03:05.557,"330",,
08/20/19 12:03:35.557,"330",,
08/20/19 12:04:05.557,"340",,
08/20/19 12:04:35.557,"350",,
08/20/19 12:05:05.557,"350",,
08/20/19 12:05:35.557,"350",,
08/20/19 12:06:05.560,"340",,
08/20/19 12:06:35.558,"340",,
08/20/19 12:07:05.557,"350",,
08/20/19 12:07:35.557,"330",,
08/20/19 12:08:05.557,"350",,
08/20/19 12:08:35.557,"350",,
08/20/19 12:09:05.557,"350",,
08/20/19 12:09:35.557,"340",,
08/20/19 12:10:05.557,"330",,
08/20/19 12:10:35.557,"350",,
08/20/19 12:11:05.557,"350",,
08/20/19 12:11:35.557,"350",,
08/20/19 12:12:05.557,"360",,
08/20/19 12:12:35.557,"350",,
08/20/19 12:13:05.557,"360",,
08/20/19 12:13:35.557,"370",,
08/20/19 12:14:05.557,"360",,
08/20/19 12:14:35.557,"360",,
08/20/19 12:15:05.557,"360",,
08/20/19 12:15:35.557,"370",,
08/20/19 12:16:05.557,"350",,
08/20/19 12:16:35.557,"360",,
08/20/19 12:17:05.557,"350",,
08/20/19 12:17:35.557,"360",,
08/20/19 12:18:05.557,"320",,
08/20/19 12:18:35.557,"360",,
08/20/19 12:19:05.557,"350",,
08/20/19 12:19:35.557,"370",,
08/20/19 12:20:05.557,"370",,
08/20/19 12:20:35.557,"360",,
08/20/19 12:21:05.557,"360",,
08/20/19 12:21:05.557,"360",,
08/20/19 12:21:35.557,"360",,
08/20/19 12:22:05.557,"350",,
08/20/19 12:22:35.557,"340",,
08/20/19 12:23:05.557,"330",,
08/20/19 12:23:35.557,"330",,
08/20/19 12:24:05.557,"340",,
08/20/19 12:24:35.557,"350",,
08/20/19 12:25:05.557,"340",,
08/20/19 12:25:35.557,"350",,
08/20/19 12:26:05.557,"350",,
08/20/19 12:26:35.557,"330",,
08/20/19 12:27:05.557,"340",,
08/20/19 12:27:35.557,"420",,
08/20/19 12:28:05.557,"390",,
08/20/19 12:28:35.557,"380",,
08/20/19 12:29:05.557,"390",,
08/20/19 12:29:35.557,"390",,
08/20/19 12:30:05.557,"380",,
08/20/19 12:30:35.557,"370",,
08/20/19 12:31:05.557,"380",,
08/20/19 12:31:35.564,"370",,
08/20/19 12:32:05.557,"370",,
08/20/19 12:32:35.557,"360",,
08/20/19 12:33:05.557,"340",,
08/20/19 12:33:35.557,"340",,
08/20/19 12:33:36.056,"340",,
