Sample.ID,Sample.Number,Site.Number,Field.Plot.ID,Core.Number,Field.Upper.Depth.cm,Field.Lower.Depth.cm,Field.Plot.Region,Field.Core.from.West.Margin,MARS.Target.pH,MARS.Plot.pH,MARS.Plot.OM.perc,MARS.Plot.P.ppm,MARS.Plot.K.ppm
181-Sp11-Cr31-0-20,181,11,11.304,31,0,20,South,46.5,6.2,6.3,1.7,25,121
182-Sp11-Cr32-0-16,182,11,11.304,32,0,16,South,39.4,6.2,6.3,1.7,25,121
183-Sp11-Cr33-0-20,183,11,11.304,33,0,20,South,11.5,6.2,6.3,1.7,25,121
184-Sp12-Cr34-0-16,184,12,12.305,34,0,16,South,43.7,6.7,6.7,1.6,24,120
185-Sp12-Cr35-0-18,185,12,12.305,35,0,18,South,44.7,6.7,6.7,1.6,24,120
186-Sp12-Cr36-0-20,186,12,12.305,36,0,20,South,44.6,6.7,6.7,1.6,24,120
187-Sp13-Cr37-0-20,187,13,13.303,37,0,20,South,4.3,5.7,6.2,1.5,18,97
188-Sp13-Cr38-0-20,188,13,13.303,38,0,20,South,44.8,5.7,6.2,1.5,18,97
189-Sp13-Cr39-0-19,189,13,13.303,39,0,19,South,37.1,5.7,6.2,1.5,18,97
190-Sp14-Cr40-0-17,190,14,14.302,40,0,17,South,30.6,5.2,5.7,1.5,31,90
191-Sp14-Cr41-0-18,191,14,14.302,41,0,18,South,8.8,5.2,5.7,1.5,31,90
192-Sp14-Cr42-0-20,192,14,14.302,42,0,20,South,3.6,5.2,5.7,1.5,31,90
193-Sp15-Cr43-0-18,193,15,15.301,43,0,18,South,26.2,4.7,5.2,1.5,29,71
194-Sp15-Cr44-0-17,194,15,15.301,44,0,17,South,9.4,4.7,5.2,1.5,29,71
195-Sp15-Cr45-0-20,195,15,15.301,45,0,20,South,16.7,4.7,5.2,1.5,29,71
196-Sp16-Cr46-0-20,196,16,16.403,46,0,20,South,3.1,5.7,6,1.5,18,84
197-Sp16-Cr47-0-17,197,16,16.403,47,0,17,South,6.3,5.7,6,1.5,18,84
198-Sp16-Cr48-0-20,198,16,16.403,48,0,20,South,49.8,5.7,6,1.5,18,84
199-Sp17-Cr49-0-20,199,17,17.401,49,0,20,South,44.4,4.7,4.8,1.2,28,65
200-Sp17-Cr50-0-18,200,17,17.401,50,0,18,South,14.5,4.7,4.8,1.2,28,65
201-Sp17-Cr51-0-18,201,17,17.401,51,0,18,South,10.7,4.7,4.8,1.2,28,65
202-Sp18-Cr52-0-18,202,18,18.405,52,0,18,South,6.3,6.7,6.6,1.5,14,86
203-Sp18-Cr53-0-19,203,18,18.405,53,0,19,South,3.9,6.7,6.6,1.5,14,86
204-Sp18-Cr54-0-20,204,18,18.405,54,0,20,South,27.7,6.7,6.6,1.5,14,86
205-Sp19-Cr55-0-20,205,19,19.402,55,0,20,South,1.9,5.2,5.7,1.4,20,69
206-Sp19-Cr56-0-18,206,19,19.402,56,0,18,South,8,5.2,5.7,1.4,20,69
207-Sp19-Cr57-0-18,207,19,19.402,57,0,18,South,46.5,5.2,5.7,1.4,20,69
208-Sp20-Cr58-0-20,208,20,20.404,58,0,20,South,8.8,6.2,6.3,1.7,18,99
209-Sp20-Cr59-0-19,209,20,20.404,59,0,19,South,27.8,6.2,6.3,1.7,18,99
210-Sp20-Cr60-0-20,210,20,20.404,60,0,20,South,38.3,6.2,6.3,1.7,18,99
211-Sp1-Cr1-0-20,211,1,1.101,1,0,20,North,45,4.7,5.3,1.5,37,62
212-Sp1-Cr2-0-20,212,1,1.101,2,0,20,North,46.8,4.7,5.3,1.5,37,62
213-Sp1-Cr3-0-20,213,1,1.101,3,0,20,North,34.1,4.7,5.3,1.5,37,62
214-Sp2-Cr4-0-20,214,2,2.102,4,0,20,North,27.3,5.2,6.1,1.7,23,83
215-Sp2-Cr5-0-20,215,2,2.102,5,0,20,North,21.5,5.2,6.1,1.7,23,83
216-Sp2-Cr6-0-20,216,2,2.102,6,0,20,North,6.4,5.2,6.1,1.7,23,83
217-Sp3-Cr7-0-20,217,3,3.104,7,0,20,North,25.3,6.2,6.7,1.6,19,103
218-Sp3-Cr8-0-20,218,3,3.104,8,0,20,North,10.7,6.2,6.7,1.6,19,103
219-Sp3-Cr9-0-20,219,3,3.104,9,0,20,North,27.6,6.2,6.7,1.6,19,103
220-Sp4-Cr10-0-20,220,4,4.103,10,0,20,North,3.4,5.7,6.3,1.5,24,86
221-Sp4-Cr11-0-20,221,4,4.103,11,0,20,North,17.2,5.7,6.3,1.5,24,86
222-Sp4-Cr12-0-20,222,4,4.103,12,0,20,North,3.8,5.7,6.3,1.5,24,86
223-Sp5-Cr13-0-20,223,5,5.105,13,0,20,North,39.8,6.7,7.2,1.7,14,104
224-Sp5-Cr14-0-20,224,5,5.105,14,0,20,North,20.4,6.7,7.2,1.7,14,104
225-Sp5-Cr15-0-20,225,5,5.105,15,0,20,North,3.4,6.7,7.2,1.7,14,104
226-Sp6-Cr16-0-15,226,6,6.204,16,0,15,North,16.2,6.2,6.8,1.8,15,102
227-Sp6-Cr17-0-20,227,6,6.204,17,0,20,North,27.8,6.2,6.8,1.8,15,102
228-Sp6-Cr18-0-20,228,6,6.204,18,0,20,North,9,6.2,6.8,1.8,15,102
229-Sp7-Cr19-0-20,229,7,7.201,19,0,20,North,1.8,4.7,5.6,1.8,32,90
230-Sp7-Cr20-0-20,230,7,7.201,20,0,20,North,18,4.7,5.6,1.8,32,90
231-Sp7-Cr21-0-13,231,7,7.201,21,0,13,North,22.3,4.7,5.6,1.8,32,90
232-Sp8-Cr22-0-20,232,8,8.203,22,0,20,North,16.3,5.7,6.1,1.6,18,91
233-Sp8-Cr23-0-20,233,8,8.203,23,0,20,North,18.6,5.7,6.1,1.6,18,91
234-Sp8-Cr24-0-20,234,8,8.203,24,0,20,North,14.9,5.7,6.1,1.6,18,91
235-Sp9-Cr25-0-15,235,9,9.205,25,0,15,North,13.4,6.7,7.1,1.8,16,119
236-Sp9-Cr26-0-20,236,9,9.205,26,0,20,North,8.9,6.7,7.1,1.8,16,119
237-Sp9-Cr27-0-15,237,9,9.205,27,0,15,North,23.1,6.7,7.1,1.8,16,119
238-Sp10-Cr28-0-20,238,10,10.202,28,0,20,North,45.6,5.2,6,1.8,34,97
239-Sp10-Cr29-0-15,239,10,10.202,29,0,15,North,43.7,5.2,6,1.8,34,97
240-Sp10-Cr30-0-20,240,10,10.202,30,0,20,North,47.7,5.2,6,1.8,34,97